Places,Place
Statue of Parakramabahu I,"Sri Lanka, South Asia"
Dambora Ella Falls,"Sri Lanka, South Asia"
Sri Maha Boodhi Temple,"Sri Lanka, South Asia"
Killinochchi War Memorial Monument,"Sri Lanka, South Asia"
Nallur Sivan Temple,"Sri Lanka, South Asia"
Ravana Abyss,"Sri Lanka, South Asia"
Mantra Manai,"Sri Lanka, South Asia"
Dutch Government House,"Sri Lanka, South Asia"
Potpathy Vinayagar,"Sri Lanka, South Asia"
Old Gate - Galle,"Sri Lanka, South Asia"
Pahanthudawa Waterfall,"Sri Lanka, South Asia"
St. Joseph's Chapel,"Sri Lanka, South Asia"
Sangamankandy Pilliyar Kovil,"Sri Lanka, South Asia"
Talalla Beach,"Sri Lanka, South Asia"
Na Uyana Monastery,"Sri Lanka, South Asia"
Trincomalee Crocodile Lake,"Sri Lanka, South Asia"
Mandaitivu Island,"Sri Lanka, South Asia"
Sivan Kovil,"Sri Lanka, South Asia"
Thaniwalla Devalaya,"Sri Lanka, South Asia"
Mapakada Lake,"Sri Lanka, South Asia"
Kajugaswatta Temple,"Sri Lanka, South Asia"
Gal Oruwa Ella Falls,"Sri Lanka, South Asia"
Vattapalai Kannaki Amman Kovill,"Sri Lanka, South Asia"
Veddha Village,"Sri Lanka, South Asia"
Keeri Beach,"Sri Lanka, South Asia"
Bodhi Temple,"Sri Lanka, South Asia"
kandalama Reservoir,"Sri Lanka, South Asia"
Kirindi Ella,"Sri Lanka, South Asia"
Dooli Ella,"Sri Lanka, South Asia"
Coconut Cultural Park,"Sri Lanka, South Asia"
Heritage Spice & Herbs Garden,"Sri Lanka, South Asia"
Murugan Kovil,"Sri Lanka, South Asia"
Arippu Dutch Fort,"Sri Lanka, South Asia"
Pillaiyar Temple,"Sri Lanka, South Asia"
Nagapoosani Amman Kovil,"Sri Lanka, South Asia"
Pinnawala Zoo,"Sri Lanka, South Asia"
Uppu Aru Lagoon,"Sri Lanka, South Asia"
Namal Anga Raja Maha Viharaya,"Sri Lanka, South Asia"
Sandy Bay,"Sri Lanka, South Asia"
Sathmahal Prasada,"Sri Lanka, South Asia"
Mahamevnawa Buddhist Monastery,"Sri Lanka, South Asia"
Akurala Beach,"Sri Lanka, South Asia"
Siri Gautama Sambuddharaja Maligawa,"Sri Lanka, South Asia"
Ranmasu Uyana,"Sri Lanka, South Asia"
Galdola Ella Falls,"Sri Lanka, South Asia"
Moonstone or Sandakada pahana,"Sri Lanka, South Asia"
Colonial Post Office,"Sri Lanka, South Asia"
Lanka Ella,"Sri Lanka, South Asia"
Tsunami Memorial,"Sri Lanka, South Asia"
Kahandamodara Beach,"Sri Lanka, South Asia"
The Marina,"Sri Lanka, South Asia"
Batticaloa Clock Tower,"Sri Lanka, South Asia"
Rajagala,"Sri Lanka, South Asia"
Samadhi Statue,"Sri Lanka, South Asia"
Mahaweli River,"Sri Lanka, South Asia"
Rajagiri Kanda Caves,"Sri Lanka, South Asia"
Gemmological Museum,"Sri Lanka, South Asia"
Parliament of Sri Lanka,"Sri Lanka, South Asia"
St Joseph Church,"Sri Lanka, South Asia"
Hummanaya Blow Hole,"Sri Lanka, South Asia"
Samudra Parakrama,"Sri Lanka, South Asia"
National Railway Museum,"Sri Lanka, South Asia"
Pilgrims Lounge Chrishtopher Handicraft and Paint Gallery,"Sri Lanka, South Asia"
Twin Baths (Kuttam Pokuna),"Sri Lanka, South Asia"
Dunsinane Falls,"Sri Lanka, South Asia"
Kokkilai Sanctuary,"Sri Lanka, South Asia"
Kovalam Beach,"Sri Lanka, South Asia"
Lahugala Magul Maha Viharaya,"Sri Lanka, South Asia"
Mawaragala forest monestryM,"Sri Lanka, South Asia"
Manayaweli Cove,"Sri Lanka, South Asia"
Methodist Church,"Sri Lanka, South Asia"
Courts Square - Galle,"Sri Lanka, South Asia"
Kilinochchi War Memorial,"Sri Lanka, South Asia"
Kaali Kovil,"Sri Lanka, South Asia"
Giritale Lake,"Sri Lanka, South Asia"
Embekke Devalaya,"Sri Lanka, South Asia"
Sri Selva Vinayagar Kovil,"Sri Lanka, South Asia"
Sri Muthumariamman Kovil Kongaha Kotuwa Talatuoya,"Sri Lanka, South Asia"
Muniyappar Kovil,"Sri Lanka, South Asia"
Kokuvil Public Library,"Sri Lanka, South Asia"
Gangai Vinayagar Temple,"Sri Lanka, South Asia"
Vehera Kanda Ruins,"Sri Lanka, South Asia"
Kulaththadi Vairavar Hindu Temple,"Sri Lanka, South Asia"
Galge Arcaeological Site,"Sri Lanka, South Asia"
Blue Field Tea Factory,"Sri Lanka, South Asia"
Inuvil Gnalinkeshwarar Thirukovil,"Sri Lanka, South Asia"
"Sorkka Vazhavu Pillyar Kovil, Kuppilan","Sri Lanka, South Asia"
Sri Kali Amman Kovil,"Sri Lanka, South Asia"
Kirala Island,"Sri Lanka, South Asia"
Devale Lena Arannaya,"Sri Lanka, South Asia"
Aladi Sri Varasithi Vinayagar kovil,"Sri Lanka, South Asia"
Poovarasankulam Temple,"Sri Lanka, South Asia"
Omanthai Pillaiyar Kovil,"Sri Lanka, South Asia"
Muniyappar Temple,"Sri Lanka, South Asia"
Unagalawehera Raja Maha Viharaya,"Sri Lanka, South Asia"
Thirowpathai Amman Temple,"Sri Lanka, South Asia"
Kali Kovil,"Sri Lanka, South Asia"
Lahugala Kitulana National Park,"Sri Lanka, South Asia"
Panchamuga Anjaneyar Temple,"Sri Lanka, South Asia"
Bommakka Amman Kovil,"Sri Lanka, South Asia"
National Museum Ratnapura,"Sri Lanka, South Asia"
Isinbassagala,"Sri Lanka, South Asia"
Dambadeniya Ancient Kingdom Museum,"Sri Lanka, South Asia"
